user_id,n_skills,n_mastered_in_path,pct_wasted
79409,16,8,50.0
79410,26,11,42.30769230769231
79411,33,16,48.484848484848484
79412,10,6,60.0
79413,9,5,55.55555555555556
79414,33,17,51.515151515151516
79415,33,20,60.60606060606061
79416,23,14,60.86956521739131
79417,21,9,42.857142857142854
79419,33,17,51.515151515151516
79421,12,10,83.33333333333334
79422,11,8,72.72727272727273
79424,12,11,91.66666666666666
79425,11,9,81.81818181818183
79426,11,9,81.81818181818183
79427,11,7,63.63636363636363
79428,12,10,83.33333333333334
79430,12,10,83.33333333333334
79432,13,11,84.61538461538461
79448,5,4,80.0
79451,3,3,100.0
79452,9,6,66.66666666666666
79456,4,2,50.0
79458,4,2,50.0
79460,4,4,100.0
79481,7,5,71.42857142857143
79482,10,4,40.0
79483,12,8,66.66666666666666
79484,12,10,83.33333333333334
79485,12,9,75.0
79487,12,10,83.33333333333334
79488,12,11,91.66666666666666
79490,11,10,90.9090909090909
79491,12,11,91.66666666666666
79492,12,9,75.0
79493,12,9,75.0
79494,11,7,63.63636363636363
79496,12,10,83.33333333333334
79497,11,9,81.81818181818183
79499,12,9,75.0
79501,5,4,80.0
79502,4,3,75.0
79503,7,7,100.0
79504,7,5,71.42857142857143
79505,7,5,71.42857142857143
79506,5,4,80.0
79507,7,5,71.42857142857143
79508,5,4,80.0
79509,5,3,60.0
79510,10,9,90.0
79511,10,10,100.0
79512,6,4,66.66666666666666
79513,7,6,85.71428571428571
79514,5,4,80.0
79515,6,2,33.33333333333333
79516,5,5,100.0
79517,5,4,80.0
79518,5,4,80.0
79519,7,5,71.42857142857143
79522,4,3,75.0
79528,10,9,90.0
79529,5,5,100.0
79530,5,5,100.0
79531,5,3,60.0
79533,5,4,80.0
79534,6,4,66.66666666666666
79535,5,3,60.0
79536,7,4,57.14285714285714
79537,5,4,80.0
79538,5,4,80.0
79539,5,4,80.0
79540,5,5,100.0
79541,7,5,71.42857142857143
79542,4,3,75.0
79543,10,8,80.0
79544,5,4,80.0
79545,5,4,80.0
79546,5,4,80.0
79547,53,44,83.01886792452831
79548,7,5,71.42857142857143
79555,7,5,71.42857142857143
79558,9,6,66.66666666666666
79559,5,2,40.0
79561,6,2,33.33333333333333
79564,3,3,100.0
79565,3,1,33.33333333333333
79568,4,2,50.0
79569,6,3,50.0
79572,7,5,71.42857142857143
79573,4,2,50.0
79575,6,3,50.0
79577,11,5,45.45454545454545
79578,33,17,51.515151515151516
79579,13,5,38.46153846153847
79580,30,10,33.33333333333333
79581,36,24,66.66666666666666
79582,28,10,35.714285714285715
79583,31,20,64.51612903225806
79584,20,9,45.0
79585,26,18,69.23076923076923
79586,34,12,35.294117647058826
79587,6,2,33.33333333333333
79588,36,19,52.77777777777778
79595,7,3,42.857142857142854
79596,12,6,50.0
79597,12,11,91.66666666666666
79598,10,7,70.0
79600,12,7,58.333333333333336
79602,12,8,66.66666666666666
79605,7,5,71.42857142857143
79606,30,22,73.33333333333333
79608,20,10,50.0
79609,9,6,66.66666666666666
79610,19,12,63.1578947368421
79611,16,11,68.75
79613,30,21,70.0
79614,29,20,68.96551724137932
79615,19,13,68.42105263157895
79616,28,19,67.85714285714286
79617,29,22,75.86206896551724
79618,29,19,65.51724137931035
79619,32,22,68.75
79620,29,21,72.41379310344827
79621,30,19,63.33333333333333
79622,20,13,65.0
79623,30,21,70.0
79625,16,7,43.75
79626,26,18,69.23076923076923
79627,28,22,78.57142857142857
79632,35,24,68.57142857142857
79661,29,23,79.3103448275862
79662,31,22,70.96774193548387
79663,31,19,61.29032258064516
79664,29,17,58.620689655172406
79665,28,23,82.14285714285714
79666,30,23,76.66666666666667
79667,29,20,68.96551724137932
79668,29,20,68.96551724137932
79669,10,7,70.0
79670,29,19,65.51724137931035
79671,5,2,40.0
79672,29,21,72.41379310344827
79673,29,22,75.86206896551724
79674,15,11,73.33333333333333
79675,28,19,67.85714285714286
79678,28,21,75.0
79679,8,4,50.0
79680,31,21,67.74193548387096
79681,31,16,51.61290322580645
79682,36,24,66.66666666666666
79683,28,18,64.28571428571429
79684,4,3,75.0
79686,6,3,50.0
79687,17,10,58.82352941176471
79688,16,14,87.5
79689,8,5,62.5
79690,11,10,90.9090909090909
79691,16,16,100.0
79692,17,14,82.35294117647058
79693,17,15,88.23529411764706
79694,1,1,100.0
79695,13,11,84.61538461538461
79697,16,14,87.5
79698,8,8,100.0
79699,2,1,50.0
79700,7,6,85.71428571428571
79701,2,2,100.0
79703,12,10,83.33333333333334
